Roll (deg),Pitch (deg),Yaw (deg),Altitude Deviation (m),Yaw Angle to Target (deg),Pitch Angle to Target (deg),Velocity X-Axis,Altitude_change,Pitch Rate [deg/s],Yaw Rate [deg/s],Roll Rate [deg/s]
-49.384274,-33.09166,27.58731,-40.22519,6.4768496,0.52541226,152.6355,-96.00629,18.38258,-20.03838,-2.752047
-49.224117,-33.344196,27.85422,-40.714172,6.213901,0.53187364,152.7605,-96.512665,16.111158,-19.878172,-2.8781323
-49.100574,-33.59713,28.1171,-41.20575,5.955023,0.5383623,152.8894,-97.0186,13.491727,-19.667692,-2.9931526
-49.019184,-33.849598,28.3755,-41.69989,5.700571,0.5448988,153.02222,-97.52403,10.471472,-19.403748,-3.0943487
-48.986332,-34.100677,28.629036,-42.196594,5.450996,0.55144894,153.15942,-98.028885,6.992037,-19.082235,-3.1786606
-49.00942,-34.34931,28.877287,-42.69586,5.2067075,0.55804694,153.3003,-98.53305,2.9911036,-18.698324,-3.2425637
-49.09686,-34.59436,29.11984,-43.197693,4.9680743,0.5646927,153.44531,-99.03642,-1.5937836,-18.246222,-3.282261
-49.25808,-34.834545,29.356289,-43.702072,4.7355614,0.5713521,153.59546,-99.53888,-6.820435,-17.719177,-3.2935443
-49.503445,-35.06847,29.586178,-44.209,4.509591,0.5780594,153.74976,-100.04027,-12.7335205,-17.10965,-3.272043
-49.84404,-35.29458,29.808979,-44.718475,4.29067,0.5847939,153.90869,-100.540405,-18.068144,-16.412397,-3.222647
-50.269726,-35.511368,30.023966,-45.230484,4.0796037,0.5915695,154.07227,-101.03934,-22.82865,-15.618948,-3.147952
-50.77023,-35.717373,30.230087,-45.745026,3.8773615,0.5983792,154.24121,-101.53677,-27.081207,-14.735286,-3.0501711
-51.33634,-35.91128,30.42621,-46.2621,3.6850917,0.6052162,154.41553,-102.0325,-30.88453,-13.769524,-2.9312165
